company_industry,llm_role_category_clean,skill,skill_label,postings_with_skill,total_group_postings,skill_share,skill_share_pct
Consulting / Professional Services,Data Scientist,skill_cloud,Cloud,2,88,0.022727272727272728,2.272727272727273
Consulting / Professional Services,Data Scientist,skill_etl,Etl,2,88,0.022727272727272728,2.272727272727273
Consulting / Professional Services,Data Scientist,skill_statistics,Statistics,2,88,0.022727272727272728,2.272727272727273
Consulting / Professional Services,Data Scientist,skill_data_visualization,Data Visualization,1,88,0.011363636363636364,1.1363636363636365
Consulting / Professional Services,Data Scientist,skill_database,Database,1,88,0.011363636363636364,1.1363636363636365
Consulting / Professional Services,Data Scientist,skill_communication,Communication,0,88,0,0
Consulting / Professional Services,Data Scientist,skill_excel,Excel,0,88,0,0
Consulting / Professional Services,Data Scientist,skill_powerbi,Powerbi,0,88,0,0
Consulting / Professional Services,Data Scientist,skill_python,Python,0,88,0,0
Consulting / Professional Services,Data Scientist,skill_r,R,0,88,0,0
Consulting / Professional Services,Data Scientist,skill_reporting,Reporting,0,88,0,0
Consulting / Professional Services,Data Scientist,skill_sas,Sas,0,88,0,0
Consulting / Professional Services,Data Scientist,skill_sql,Sql,0,88,0,0
Consulting / Professional Services,Data Scientist,skill_tableau,Tableau,0,88,0,0
Consulting / Professional Services,Database Role,skill_database,Database,6,6,1,100
Consulting / Professional Services,Database Role,skill_reporting,Reporting,1,6,0.16666666666666666,16.666666666666664
Consulting / Professional Services,Database Role,skill_sql,Sql,1,6,0.16666666666666666,16.666666666666664
Consulting / Professional Services,Database Role,skill_cloud,Cloud,0,6,0,0
Consulting / Professional Services,Database Role,skill_communication,Communication,0,6,0,0
Consulting / Professional Services,Database Role,skill_data_analysis,Data Analysis,0,6,0,0
Consulting / Professional Services,Database Role,skill_data_visualization,Data Visualization,0,6,0,0
Consulting / Professional Services,Database Role,skill_etl,Etl,0,6,0,0
Consulting / Professional Services,Database Role,skill_excel,Excel,0,6,0,0
Consulting / Professional Services,Database Role,skill_machine_learning,Machine Learning,0,6,0,0
Consulting / Professional Services,Database Role,skill_powerbi,Powerbi,0,6,0,0
Consulting / Professional Services,Database Role,skill_python,Python,0,6,0,0
Consulting / Professional Services,Database Role,skill_r,R,0,6,0,0
Consulting / Professional Services,Database Role,skill_sas,Sas,0,6,0,0
Consulting / Professional Services,Database Role,skill_statistics,Statistics,0,6,0,0
Consulting / Professional Services,Database Role,skill_tableau,Tableau,0,6,0,0
Consulting / Professional Services,Financial Analyst,skill_data_analysis,Data Analysis,34,60,0.5666666666666667,56.666666666666664
Consulting / Professional Services,Financial Analyst,skill_reporting,Reporting,27,60,0.45,45
Consulting / Professional Services,Financial Analyst,skill_excel,Excel,6,60,0.1,10
Consulting / Professional Services,Financial Analyst,skill_communication,Communication,2,60,0.03333333333333333,3.3333333333333335
Consulting / Professional Services,Financial Analyst,skill_data_visualization,Data Visualization,2,60,0.03333333333333333,3.3333333333333335
Consulting / Professional Services,Financial Analyst,skill_powerbi,Powerbi,1,60,0.016666666666666666,1.6666666666666667
Consulting / Professional Services,Financial Analyst,skill_python,Python,1,60,0.016666666666666666,1.6666666666666667
Consulting / Professional Services,Financial Analyst,skill_r,R,1,60,0.016666666666666666,1.6666666666666667
Consulting / Professional Services,Financial Analyst,skill_statistics,Statistics,1,60,0.016666666666666666,1.6666666666666667
Consulting / Professional Services,Financial Analyst,skill_cloud,Cloud,0,60,0,0
Consulting / Professional Services,Financial Analyst,skill_database,Database,0,60,0,0
Consulting / Professional Services,Financial Analyst,skill_etl,Etl,0,60,0,0
Consulting / Professional Services,Financial Analyst,skill_machine_learning,Machine Learning,0,60,0,0
Consulting / Professional Services,Financial Analyst,skill_sas,Sas,0,60,0,0
Consulting / Professional Services,Financial Analyst,skill_sql,Sql,0,60,0,0
Consulting / Professional Services,Financial Analyst,skill_tableau,Tableau,0,60,0,0
Consulting / Professional Services,Market Research Analyst,skill_data_analysis,Data Analysis,7,17,0.4117647058823529,41.17647058823529
Consulting / Professional Services,Market Research Analyst,skill_reporting,Reporting,5,17,0.29411764705882354,29.411764705882355
Consulting / Professional Services,Market Research Analyst,skill_communication,Communication,2,17,0.11764705882352941,11.76470588235294
Consulting / Professional Services,Market Research Analyst,skill_cloud,Cloud,1,17,0.058823529411764705,5.88235294117647
Consulting / Professional Services,Market Research Analyst,skill_database,Database,1,17,0.058823529411764705,5.88235294117647
Consulting / Professional Services,Market Research Analyst,skill_data_visualization,Data Visualization,0,17,0,0
Consulting / Professional Services,Market Research Analyst,skill_etl,Etl,0,17,0,0
Consulting / Professional Services,Market Research Analyst,skill_excel,Excel,0,17,0,0
Consulting / Professional Services,Market Research Analyst,skill_machine_learning,Machine Learning,0,17,0,0
Consulting / Professional Services,Market Research Analyst,skill_powerbi,Powerbi,0,17,0,0
Consulting / Professional Services,Market Research Analyst,skill_python,Python,0,17,0,0
Consulting / Professional Services,Market Research Analyst,skill_r,R,0,17,0,0
Consulting / Professional Services,Market Research Analyst,skill_sas,Sas,0,17,0,0
Consulting / Professional Services,Market Research Analyst,skill_sql,Sql,0,17,0,0
Consulting / Professional Services,Market Research Analyst,skill_statistics,Statistics,0,17,0,0
Consulting / Professional Services,Market Research Analyst,skill_tableau,Tableau,0,17,0,0
Consulting / Professional Services,Operations Analyst,skill_data_analysis,Data Analysis,9,20,0.45,45
Consulting / Professional Services,Operations Analyst,skill_data_visualization,Data Visualization,2,20,0.1,10
Consulting / Professional Services,Operations Analyst,skill_powerbi,Powerbi,2,20,0.1,10
Consulting / Professional Services,Operations Analyst,skill_reporting,Reporting,2,20,0.1,10
Consulting / Professional Services,Operations Analyst,skill_communication,Communication,1,20,0.05,5
Consulting / Professional Services,Operations Analyst,skill_database,Database,1,20,0.05,5
Consulting / Professional Services,Operations Analyst,skill_r,R,1,20,0.05,5
Consulting / Professional Services,Operations Analyst,skill_cloud,Cloud,0,20,0,0
Consulting / Professional Services,Operations Analyst,skill_etl,Etl,0,20,0,0
Consulting / Professional Services,Operations Analyst,skill_excel,Excel,0,20,0,0
Consulting / Professional Services,Operations Analyst,skill_machine_learning,Machine Learning,0,20,0,0
Consulting / Professional Services,Operations Analyst,skill_python,Python,0,20,0,0
Consulting / Professional Services,Operations Analyst,skill_sas,Sas,0,20,0,0
Consulting / Professional Services,Operations Analyst,skill_sql,Sql,0,20,0,0
Consulting / Professional Services,Operations Analyst,skill_statistics,Statistics,0,20,0,0
Consulting / Professional Services,Operations Analyst,skill_tableau,Tableau,0,20,0,0
Consulting / Professional Services,Other Data/Analytics Role,skill_data_analysis,Data Analysis,2,14,0.14285714285714285,14.285714285714285
Consulting / Professional Services,Other Data/Analytics Role,skill_database,Database,2,14,0.14285714285714285,14.285714285714285
Consulting / Professional Services,Other Data/Analytics Role,skill_cloud,Cloud,1,14,0.07142857142857142,7.142857142857142
Consulting / Professional Services,Other Data/Analytics Role,skill_data_visualization,Data Visualization,1,14,0.07142857142857142,7.142857142857142
Consulting / Professional Services,Other Data/Analytics Role,skill_communication,Communication,0,14,0,0
Consulting / Professional Services,Other Data/Analytics Role,skill_etl,Etl,0,14,0,0
Consulting / Professional Services,Other Data/Analytics Role,skill_excel,Excel,0,14,0,0
Consulting / Professional Services,Other Data/Analytics Role,skill_machine_learning,Machine Learning,0,14,0,0
Consulting / Professional Services,Other Data/Analytics Role,skill_powerbi,Powerbi,0,14,0,0
Consulting / Professional Services,Other Data/Analytics Role,skill_python,Python,0,14,0,0
Consulting / Professional Services,Other Data/Analytics Role,skill_r,R,0,14,0,0
Consulting / Professional Services,Other Data/Analytics Role,skill_reporting,Reporting,0,14,0,0
Consulting / Professional Services,Other Data/Analytics Role,skill_sas,Sas,0,14,0,0
Consulting / Professional Services,Other Data/Analytics Role,skill_sql,Sql,0,14,0,0
Consulting / Professional Services,Other Data/Analytics Role,skill_statistics,Statistics,0,14,0,0
Consulting / Professional Services,Other Data/Analytics Role,skill_tableau,Tableau,0,14,0,0
Consulting / Professional Services,Product Analyst,skill_reporting,Reporting,1,4,0.25,25
Consulting / Professional Services,Product Analyst,skill_cloud,Cloud,0,4,0,0
Consulting / Professional Services,Product Analyst,skill_communication,Communication,0,4,0,0
Consulting / Professional Services,Product Analyst,skill_data_analysis,Data Analysis,0,4,0,0
Consulting / Professional Services,Product Analyst,skill_data_visualization,Data Visualization,0,4,0,0
Consulting / Professional Services,Product Analyst,skill_database,Database,0,4,0,0
Consulting / Professional Services,Product Analyst,skill_etl,Etl,0,4,0,0
Consulting / Professional Services,Product Analyst,skill_excel,Excel,0,4,0,0
Consulting / Professional Services,Product Analyst,skill_machine_learning,Machine Learning,0,4,0,0
Consulting / Professional Services,Product Analyst,skill_powerbi,Powerbi,0,4,0,0
Consulting / Professional Services,Product Analyst,skill_python,Python,0,4,0,0
Consulting / Professional Services,Product Analyst,skill_r,R,0,4,0,0
Consulting / Professional Services,Product Analyst,skill_sas,Sas,0,4,0,0
Consulting / Professional Services,Product Analyst,skill_sql,Sql,0,4,0,0
Consulting / Professional Services,Product Analyst,skill_statistics,Statistics,0,4,0,0
Consulting / Professional Services,Product Analyst,skill_tableau,Tableau,0,4,0,0
Consulting / Professional Services,Reporting Analyst,skill_reporting,Reporting,45,45,1,100
Consulting / Professional Services,Reporting Analyst,skill_data_analysis,Data Analysis,3,45,0.06666666666666667,6.666666666666667
Consulting / Professional Services,Reporting Analyst,skill_data_visualization,Data Visualization,1,45,0.022222222222222223,2.2222222222222223
Consulting / Professional Services,Reporting Analyst,skill_excel,Excel,1,45,0.022222222222222223,2.2222222222222223
Consulting / Professional Services,Reporting Analyst,skill_powerbi,Powerbi,1,45,0.022222222222222223,2.2222222222222223
Consulting / Professional Services,Reporting Analyst,skill_statistics,Statistics,1,45,0.022222222222222223,2.2222222222222223
Consulting / Professional Services,Reporting Analyst,skill_cloud,Cloud,0,45,0,0
Consulting / Professional Services,Reporting Analyst,skill_communication,Communication,0,45,0,0
Consulting / Professional Services,Reporting Analyst,skill_database,Database,0,45,0,0
Consulting / Professional Services,Reporting Analyst,skill_etl,Etl,0,45,0,0
Consulting / Professional Services,Reporting Analyst,skill_machine_learning,Machine Learning,0,45,0,0
Consulting / Professional Services,Reporting Analyst,skill_python,Python,0,45,0,0
Consulting / Professional Services,Reporting Analyst,skill_r,R,0,45,0,0
Consulting / Professional Services,Reporting Analyst,skill_sas,Sas,0,45,0,0
Consulting / Professional Services,Reporting Analyst,skill_sql,Sql,0,45,0,0
Consulting / Professional Services,Reporting Analyst,skill_tableau,Tableau,0,45,0,0
Education,Analytics Manager,skill_data_analysis,Data Analysis,3,3,1,100
Education,Analytics Manager,skill_cloud,Cloud,0,3,0,0
Education,Analytics Manager,skill_communication,Communication,0,3,0,0
Education,Analytics Manager,skill_data_visualization,Data Visualization,0,3,0,0
Education,Analytics Manager,skill_database,Database,0,3,0,0
Education,Analytics Manager,skill_etl,Etl,0,3,0,0
Education,Analytics Manager,skill_excel,Excel,0,3,0,0
Education,Analytics Manager,skill_machine_learning,Machine Learning,0,3,0,0
Education,Analytics Manager,skill_powerbi,Powerbi,0,3,0,0
Education,Analytics Manager,skill_python,Python,0,3,0,0
Education,Analytics Manager,skill_r,R,0,3,0,0
Education,Analytics Manager,skill_reporting,Reporting,0,3,0,0
Education,Analytics Manager,skill_sas,Sas,0,3,0,0
Education,Analytics Manager,skill_sql,Sql,0,3,0,0
Education,Analytics Manager,skill_statistics,Statistics,0,3,0,0
Education,Analytics Manager,skill_tableau,Tableau,0,3,0,0
Education,Business Intelligence,skill_reporting,Reporting,1,183,0.00546448087431694,0.546448087431694
Education,Business Intelligence,skill_cloud,Cloud,0,183,0,0
Education,Business Intelligence,skill_communication,Communication,0,183,0,0
Education,Business Intelligence,skill_data_analysis,Data Analysis,0,183,0,0
Education,Business Intelligence,skill_data_visualization,Data Visualization,0,183,0,0
Education,Business Intelligence,skill_database,Database,0,183,0,0
Education,Business Intelligence,skill_etl,Etl,0,183,0,0
Education,Business Intelligence,skill_excel,Excel,0,183,0,0
Education,Business Intelligence,skill_machine_learning,Machine Learning,0,183,0,0
Education,Business Intelligence,skill_powerbi,Powerbi,0,183,0,0
Education,Business Intelligence,skill_python,Python,0,183,0,0
Education,Business Intelligence,skill_r,R,0,183,0,0
Education,Business Intelligence,skill_sas,Sas,0,183,0,0
Education,Business Intelligence,skill_sql,Sql,0,183,0,0
Education,Business Intelligence,skill_statistics,Statistics,0,183,0,0
Education,Business Intelligence,skill_tableau,Tableau,0,183,0,0
Education,Database Role,skill_database,Database,2,2,1,100
Education,Database Role,skill_cloud,Cloud,0,2,0,0
Education,Database Role,skill_communication,Communication,0,2,0,0
Education,Database Role,skill_data_analysis,Data Analysis,0,2,0,0
Education,Database Role,skill_data_visualization,Data Visualization,0,2,0,0
Education,Database Role,skill_etl,Etl,0,2,0,0
Education,Database Role,skill_excel,Excel,0,2,0,0
Education,Database Role,skill_machine_learning,Machine Learning,0,2,0,0
Education,Database Role,skill_powerbi,Powerbi,0,2,0,0
Education,Database Role,skill_python,Python,0,2,0,0
Education,Database Role,skill_r,R,0,2,0,0
Education,Database Role,skill_reporting,Reporting,0,2,0,0
Education,Database Role,skill_sas,Sas,0,2,0,0
Education,Database Role,skill_sql,Sql,0,2,0,0
Education,Database Role,skill_statistics,Statistics,0,2,0,0
Education,Database Role,skill_tableau,Tableau,0,2,0,0
Education,Financial Analyst,skill_reporting,Reporting,2,3,0.6666666666666666,66.66666666666666
Education,Financial Analyst,skill_cloud,Cloud,0,3,0,0
Education,Financial Analyst,skill_communication,Communication,0,3,0,0
Education,Financial Analyst,skill_data_analysis,Data Analysis,0,3,0,0
Education,Financial Analyst,skill_data_visualization,Data Visualization,0,3,0,0
Education,Financial Analyst,skill_database,Database,0,3,0,0
Education,Financial Analyst,skill_etl,Etl,0,3,0,0
Education,Financial Analyst,skill_excel,Excel,0,3,0,0
Education,Financial Analyst,skill_machine_learning,Machine Learning,0,3,0,0
Education,Financial Analyst,skill_powerbi,Powerbi,0,3,0,0
Education,Financial Analyst,skill_python,Python,0,3,0,0
Education,Financial Analyst,skill_r,R,0,3,0,0
Education,Financial Analyst,skill_sas,Sas,0,3,0,0
Education,Financial Analyst,skill_sql,Sql,0,3,0,0
Education,Financial Analyst,skill_statistics,Statistics,0,3,0,0
Education,Financial Analyst,skill_tableau,Tableau,0,3,0,0
Education,Market Research Analyst,skill_data_analysis,Data Analysis,2,2,1,100
Education,Market Research Analyst,skill_cloud,Cloud,0,2,0,0
Education,Market Research Analyst,skill_communication,Communication,0,2,0,0
Education,Market Research Analyst,skill_data_visualization,Data Visualization,0,2,0,0
Education,Market Research Analyst,skill_database,Database,0,2,0,0
Education,Market Research Analyst,skill_etl,Etl,0,2,0,0
Education,Market Research Analyst,skill_excel,Excel,0,2,0,0
Education,Market Research Analyst,skill_machine_learning,Machine Learning,0,2,0,0
Education,Market Research Analyst,skill_powerbi,Powerbi,0,2,0,0
Education,Market Research Analyst,skill_python,Python,0,2,0,0
Education,Market Research Analyst,skill_r,R,0,2,0,0
Education,Market Research Analyst,skill_reporting,Reporting,0,2,0,0
Education,Market Research Analyst,skill_sas,Sas,0,2,0,0
Education,Market Research Analyst,skill_sql,Sql,0,2,0,0
Education,Market Research Analyst,skill_statistics,Statistics,0,2,0,0
Education,Market Research Analyst,skill_tableau,Tableau,0,2,0,0
Education,Other Data/Analytics Role,skill_data_analysis,Data Analysis,7,10,0.7,70
Education,Other Data/Analytics Role,skill_data_visualization,Data Visualization,2,10,0.2,20
Education,Other Data/Analytics Role,skill_database,Database,2,10,0.2,20
Education,Other Data/Analytics Role,skill_statistics,Statistics,2,10,0.2,20
Education,Other Data/Analytics Role,skill_reporting,Reporting,1,10,0.1,10
Education,Other Data/Analytics Role,skill_cloud,Cloud,0,10,0,0
Education,Other Data/Analytics Role,skill_communication,Communication,0,10,0,0
Education,Other Data/Analytics Role,skill_etl,Etl,0,10,0,0
Education,Other Data/Analytics Role,skill_excel,Excel,0,10,0,0
Education,Other Data/Analytics Role,skill_machine_learning,Machine Learning,0,10,0,0
Education,Other Data/Analytics Role,skill_powerbi,Powerbi,0,10,0,0
Education,Other Data/Analytics Role,skill_python,Python,0,10,0,0
Education,Other Data/Analytics Role,skill_r,R,0,10,0,0
Education,Other Data/Analytics Role,skill_sas,Sas,0,10,0,0
Education,Other Data/Analytics Role,skill_sql,Sql,0,10,0,0
Education,Other Data/Analytics Role,skill_tableau,Tableau,0,10,0,0
Education,Reporting Analyst,skill_reporting,Reporting,5,5,1,100
Education,Reporting Analyst,skill_data_analysis,Data Analysis,1,5,0.2,20
Education,Reporting Analyst,skill_cloud,Cloud,0,5,0,0
Education,Reporting Analyst,skill_communication,Communication,0,5,0,0
Education,Reporting Analyst,skill_data_visualization,Data Visualization,0,5,0,0
Education,Reporting Analyst,skill_database,Database,0,5,0,0
Education,Reporting Analyst,skill_etl,Etl,0,5,0,0
Education,Reporting Analyst,skill_excel,Excel,0,5,0,0
Education,Reporting Analyst,skill_machine_learning,Machine Learning,0,5,0,0
Education,Reporting Analyst,skill_powerbi,Powerbi,0,5,0,0
Education,Reporting Analyst,skill_python,Python,0,5,0,0
Education,Reporting Analyst,skill_r,R,0,5,0,0
Education,Reporting Analyst,skill_sas,Sas,0,5,0,0
Education,Reporting Analyst,skill_sql,Sql,0,5,0,0
Education,Reporting Analyst,skill_statistics,Statistics,0,5,0,0
Education,Reporting Analyst,skill_tableau,Tableau,0,5,0,0
Energy / Utilities,Analytics Manager,skill_data_analysis,Data Analysis,6,6,1,100
Energy / Utilities,Analytics Manager,skill_reporting,Reporting,1,6,0.16666666666666666,16.666666666666664
Energy / Utilities,Analytics Manager,skill_cloud,Cloud,0,6,0,0
Energy / Utilities,Analytics Manager,skill_communication,Communication,0,6,0,0
Energy / Utilities,Analytics Manager,skill_data_visualization,Data Visualization,0,6,0,0
Energy / Utilities,Analytics Manager,skill_database,Database,0,6,0,0
Energy / Utilities,Analytics Manager,skill_etl,Etl,0,6,0,0
Energy / Utilities,Analytics Manager,skill_excel,Excel,0,6,0,0
Energy / Utilities,Analytics Manager,skill_machine_learning,Machine Learning,0,6,0,0
Energy / Utilities,Analytics Manager,skill_powerbi,Powerbi,0,6,0,0
Energy / Utilities,Analytics Manager,skill_python,Python,0,6,0,0
Energy / Utilities,Analytics Manager,skill_r,R,0,6,0,0
Energy / Utilities,Analytics Manager,skill_sas,Sas,0,6,0,0
Energy / Utilities,Analytics Manager,skill_sql,Sql,0,6,0,0
Energy / Utilities,Analytics Manager,skill_statistics,Statistics,0,6,0,0
Energy / Utilities,Analytics Manager,skill_tableau,Tableau,0,6,0,0
Energy / Utilities,Business Analyst,skill_data_analysis,Data Analysis,1,2,0.5,50
Energy / Utilities,Business Analyst,skill_excel,Excel,1,2,0.5,50
Energy / Utilities,Business Analyst,skill_cloud,Cloud,0,2,0,0
Energy / Utilities,Business Analyst,skill_communication,Communication,0,2,0,0
Energy / Utilities,Business Analyst,skill_data_visualization,Data Visualization,0,2,0,0
Energy / Utilities,Business Analyst,skill_database,Database,0,2,0,0
Energy / Utilities,Business Analyst,skill_etl,Etl,0,2,0,0
Energy / Utilities,Business Analyst,skill_machine_learning,Machine Learning,0,2,0,0
Energy / Utilities,Business Analyst,skill_powerbi,Powerbi,0,2,0,0
Energy / Utilities,Business Analyst,skill_python,Python,0,2,0,0
Energy / Utilities,Business Analyst,skill_r,R,0,2,0,0
Energy / Utilities,Business Analyst,skill_reporting,Reporting,0,2,0,0
Energy / Utilities,Business Analyst,skill_sas,Sas,0,2,0,0
Energy / Utilities,Business Analyst,skill_sql,Sql,0,2,0,0
Energy / Utilities,Business Analyst,skill_statistics,Statistics,0,2,0,0
Energy / Utilities,Business Analyst,skill_tableau,Tableau,0,2,0,0
Energy / Utilities,Business Intelligence,skill_data_visualization,Data Visualization,1,1,1,100
Energy / Utilities,Business Intelligence,skill_sql,Sql,1,1,1,100
Energy / Utilities,Business Intelligence,skill_cloud,Cloud,0,1,0,0
Energy / Utilities,Business Intelligence,skill_communication,Communication,0,1,0,0
Energy / Utilities,Business Intelligence,skill_data_analysis,Data Analysis,0,1,0,0
Energy / Utilities,Business Intelligence,skill_database,Database,0,1,0,0
Energy / Utilities,Business Intelligence,skill_etl,Etl,0,1,0,0
Energy / Utilities,Business Intelligence,skill_excel,Excel,0,1,0,0
Energy / Utilities,Business Intelligence,skill_machine_learning,Machine Learning,0,1,0,0
Energy / Utilities,Business Intelligence,skill_powerbi,Powerbi,0,1,0,0
Energy / Utilities,Business Intelligence,skill_python,Python,0,1,0,0
Energy / Utilities,Business Intelligence,skill_r,R,0,1,0,0
Energy / Utilities,Business Intelligence,skill_reporting,Reporting,0,1,0,0
